feature,importance_mean,importance_sd
Feature_asym_energy_content_below_05_Power_Spectrum_Density_AP,0.24765146574834446,0.025960948443782005
Feature_avg_fractal_dimension_ML_AND_AP,0.16282836420216742,0.05176299650875514
Feature_avg_centroid_frequency_Power_Spectrum_Density_ML,0.12380001515778573,0.09198023331805363
Feature_avg_LFS_ML_AND_AP,0.11304920055942665,0.05094224267178506
Feature_asym_short_time_diffusion_Diffusion_ML,0.10987510027422125,0.061996437645315906
Feature_avg_phase_plane_parameter_ML,0.10459853389909088,0.06486669747416743
Feature_asym_energy_content_above_2_Power_Spectrum_Density_ML,0.08127103194467623,0.01420465525840679
Feature_asym_range_AP,0.056926288214287454,0.05963487984982371
