feature,importance_mean,importance_sd
Feature_asym_energy_content_below_05_Power_Spectrum_Density_AP,0.3981269454605078,0.08168517716950788
Feature_avg_fractal_dimension_ML_AND_AP,0.22881729917504895,0.07945293742129717
Feature_avg_frequency_quotient_Power_Spectrum_Density_ML,0.13030470724411816,0.05024368935379602
Feature_avg_short_time_diffusion_Diffusion_ML,0.104440522519151,0.036159545164438874
Feature_asym_mean_velocity_ML_AND_AP,0.06578264675945306,0.04753668983970376
Feature_asym_power_frequency_50_Power_Spectrum_Density_ML,0.038399169920384085,0.05068184245979608
Feature_asym_coefficient_sway_direction_ML_AND_AP,0.034128708921337125,0.03436385739477783
